id;session_id;position_x;position_y;target_number;game_number;creation;id;respondent_id;note;prototype;creation;id;experience;pc_usage;sex;age;employment;creation
1;1;324;284;1;1;2022-11-25 07:14:23.74;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
2;1;841;58;2;1;2022-11-25 07:14:24.727;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
3;1;460;512;3;1;2022-11-25 07:14:26.074;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
4;1;946;391;4;1;2022-11-25 07:14:27.264;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
5;1;364;304;5;1;2022-11-25 07:14:28.362;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
6;1;908;66;6;1;2022-11-25 07:14:29.386;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
7;1;436;296;7;1;2022-11-25 07:14:30.26;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
8;1;89;197;8;1;2022-11-25 07:14:31.035;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
9;1;612;525;9;1;2022-11-25 07:14:32.055;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
10;1;386;326;10;1;2022-11-25 07:14:32.974;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
11;1;105;48;11;1;2022-11-25 07:14:33.901;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
12;1;638;165;12;1;2022-11-25 07:14:35.132;1;1;pil1_set1;1A;2022-11-25 07:14:00.143;1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
