id;experience;pc_usage;sex;age;employment;creation
1;9;more than 3 hours daily;man;21;Študent informatika;2022-11-25 07:14:00.005
2;5;2 - 3 hours daily;man;29;učiteľ;2022-11-26 11:09:47.721
3;9;more than 3 hours daily;man;44;Geodet;2022-11-26 14:05:17.23
4;8;2 - 3 hours daily;man;11;Ziak;2022-11-26 14:29:06.36
5;7;2 - 3 hours daily;man;21;študent - logistika;2022-11-26 14:55:48.759
6;8;2 - 3 hours weekly;woman;20;študent, ekonomika a manažment podniku;2022-11-26 15:17:56.093
7;8;2 - 3 hours daily;woman;44;učiteľ;2022-11-26 15:43:13.609
8;1;less than 1 hour weekly;woman;68;dochodca;2022-11-26 16:10:14.318
9;7;more than 3 hours daily;man;63;obchodný zástupca poisťovne;2022-11-27 10:47:37.507
10;4;2 - 3 hours weekly;woman;28;učiteľka;2022-11-27 11:20:03.212
11;5;more than 3 hours daily;woman;61;účtovníčka;2022-11-27 13:04:09.163
12;9;more than 3 hours daily;woman;25;Programatorka;2022-11-28 13:08:01.832
13;10;more than 3 hours daily;man;22;Študent informatika;2022-11-28 13:36:09.84
14;9;more than 3 hours daily;man;25;programátor;2022-11-28 14:03:02.179
15;10;more than 3 hours daily;man;25;IT architekt;2022-11-28 14:34:34.74
16;10;more than 3 hours daily;woman;22;student, informatika;2022-11-30 07:27:08.859
17;10;more than 3 hours daily;man;23;Innformatika;2022-11-30 08:05:38.679
18;10;more than 3 hours daily;woman;23;študent (informatika);2022-11-30 08:36:19.094
19;8;more than 3 hours daily;woman;23;Software developer;2022-11-30 09:05:19.665
20;10;more than 3 hours daily;woman;24;študent informatiky;2022-11-30 10:05:07.071
21;9;more than 3 hours daily;man;24;Študent Informatiky;2022-11-30 10:33:21.333
22;7;more than 3 hours daily;man;31;stavebný inžinier;2022-12-04 13:46:06.991
23;4;less than 1 hour weekly;woman;32;logopédka;2022-12-04 14:10:23.299
24;5;more than 3 hours daily;woman;35;zdravotnícky laborant;2022-12-04 16:13:26.825
25;9;more than 3 hours daily;man;35;konateľ - práca s vybavovaním dokladov pre vozidlá;2022-12-04 16:38:01.535
26;10;2 - 3 hours daily;man;33;stavenbný manažér;2022-12-04 18:29:17.493
27;6;2 - 3 hours weekly;woman;33;farmaceut;2022-12-04 18:52:38.279
28;9;1 hour daily;woman;22;študent, učiteľstvo;2022-12-05 19:07:16.194
29;9;more than 3 hours daily;man;23;Projektant;2022-12-10 09:02:37.789
30;6;more than 3 hours daily;man;34;manažér v Mondi SCP;2022-12-11 08:42:01.432
31;8;more than 3 hours daily;woman;30;systémový inžinier;2022-12-11 09:04:33.947
32;10;more than 3 hours daily;man;24;Marketingový manažér;2022-12-11 09:31:32.526
33;6;more than 3 hours daily;woman;45;učiteľ;2022-12-11 10:12:54.983
